#  #1, #2, #3
5.66,206165767055.87,10059.81
4.20,204518475393.60,10008.40
4.83,201670167999.37,10097.39
5.18,206950577327.01,10034.51
4.49,200924546338.18,10000.71
5.01,214951791052.48,10076.40
4.97,201971822478.87,10043.38
5.03,218929021089.63,10077.38
5.31,210522218795.21,10042.14
5.82,210223701755.28,10052.28
5.16,203436802644.94,10000.20
4.71,205804747511.23,10023.24
5.04,213861619366.06,10062.87
5.05,216561570705.96,10057.39
5.00,207603641968.93,10021.97
5.35,208264273381.53,10066.55
5.37,219123597437.37,10092.46
5.14,211421818296.50,10067.66
4.81,206145430607.32,10015.02
4.85,208438126712.51,10019.04
4.56,219313010973.17,10025.55
4.31,203280509973.09,10094.33
3.75,216040751803.29,10060.28
5.35,217421098278.78,10002.65
5.01,217362428709.67,10061.99
4.08,200117993589.83,10024.32
4.93,214588067600.57,10093.26
4.88,218748469977.48,10058.65
4.03,203910627725.92,10025.47
4.59,205845327422.24,10006.46
5.12,215441173372.70,10016.00
4.58,210902100592.59,10073.66
3.96,211202435151.63,10049.58
4.30,204871461812.53,10006.73
5.04,215056338915.05,10083.20
5.01,201802501907.60,10069.39
4.94,205173199554.32,10012.86
5.65,200937535753.40,10030.82
4.65,216091609440.12,10077.40
5.97,209743845280.90,10059.96
4.80,201264705077.17,10051.41
5.33,200380252176.76,10023.58
5.88,212117488233.09,10052.65
5.85,205525046717.11,10076.15
4.87,201041562694.68,10096.38
4.61,206815777492.20,10028.36
4.66,215338402365.92,10007.90
4.13,203108516543.57,10056.31
5.23,207357805494.53,10091.19
4.46,216285567387.65,10031.86
4.10,219345811765.66,10059.49
5.18,217367949514.88,10077.84
4.16,214436801541.11,10079.52
4.91,201539441594.72,10025.84
4.24,203595360386.16,10064.13
4.39,203688462034.48,10034.89
4.69,210661767039.11,10043.69
4.36,216305444581.46,10083.78
4.94,207720534971.96,10011.08
4.77,218408082074.44,10087.41
5.03,207568253265.89,10097.41
4.05,213517824306.81,10083.07
4.55,201393028108.13,10080.32
4.23,201331026582.58,10008.26
5.14,212229081559.44,10049.24
5.32,207567016818.33,10045.34
4.97,202944607177.03,10018.28
5.61,200501831520.55,10045.62
4.76,203842629709.41,10077.13
4.24,202805693472.17,10076.79
4.87,210498356559.55,10035.07
4.26,214598274166.64,10077.63
5.02,202341807713.58,10013.16
5.13,213296154818.80,10085.65
5.53,219358867884.81,10080.37
5.58,214478202154.17,10049.42
5.40,200435725183.80,10079.46
4.54,206178859488.47,10067.74
4.35,200123611926.92,10053.71
4.14,207061627304.89,10037.38
5.35,212497106204.07,10000.54
4.59,208315036391.27,10018.57
5.16,210938255811.57,10005.74
4.82,204836494747.96,10064.44
5.80,208468896150.03,10058.76
4.79,208278140355.82,10091.94
5.52,203213350610.15,10052.60
4.74,200917800270.49,10023.71
4.39,219193618621.37,10009.20
4.89,208306024421.56,10026.18
5.68,206261752878.27,10035.57
4.55,206130618249.08,10061.83
4.18,204383190904.77,10024.52
4.71,204020137794.18,10055.23
5.11,211764975855.43,10082.20
5.37,206535552092.93,10008.50
4.23,219783452993.18,10011.00
4.72,212439113590.08,10069.36
5.42,213889950199.14,10049.89
4.88,205253329672.72,10080.36
4.43,205560543808.36,10061.04
3.97,202948374044.79,10084.43
4.90,202138899895.63,10096.23
5.68,219828850197.37,10041.73
6.11,217925516399.43,10041.97
5.79,214920763332.62,10093.06
5.21,201525517893.30,10044.25
4.82,219140670679.27,10018.41
5.36,204939280110.36,10022.66
5.43,203388338013.77,10086.20
5.00,214016628739.56,10049.86
5.14,214766735295.06,10055.86
5.13,208237963885.06,10066.96
4.85,213593489378.61,10072.80
5.76,204371411410.57,10005.71
5.21,214736714252.95,10060.18
5.58,203010209189.25,10045.96
4.27,200018983499.37,10078.71
5.39,218854376803.71,10016.66
5.43,203741304671.15,10090.63
5.19,203184364841.29,10044.98
4.79,202054638200.57,10030.56
5.14,216698428933.82,10044.12
5.04,217411814917.35,10092.32
4.50,210649366819.24,10004.33
4.71,207271240602.74,10089.99
4.62,216829779069.29,10089.18
4.69,219462057564.09,10090.46
4.48,203250597572.41,10098.71
4.65,212676526926.08,10047.02
5.28,213847284337.65,10007.42
4.38,208638121187.59,10017.63
4.79,212381520746.48,10063.67
4.50,212724365004.08,10008.18
5.70,219644061633.27,10084.38
5.03,201335748378.91,10087.92
6.13,200927584393.25,10027.53
5.50,217058166478.88,10088.52
5.35,212387686110.99,10087.93
5.44,214284203351.36,10062.68
5.21,200213516253.29,10000.48
5.30,215898922240.28,10080.51
5.19,212794733164.75,10042.53
5.42,217611572860.05,10023.56
5.49,212716167396.55,10080.01
5.27,205935936788.68,10098.45
5.28,217731945269.84,10028.14
4.29,216643329451.88,10012.18
4.55,216171139564.82,10048.11
5.32,207039425694.09,10048.98
5.99,212002094670.83,10057.34
5.75,207079632795.95,10095.26
4.12,203755076453.06,10062.76
4.68,208081149508.68,10050.77
5.01,212523944959.80,10090.75
4.64,203090277233.89,10008.57
5.20,212109673841.74,10010.70
4.77,210464542308.68,10080.91
4.78,212846046726.53,10043.31
4.80,208814505116.50,10089.39
4.28,211264308968.10,10022.45
5.58,217280415200.51,10075.25
4.85,215094078405.15,10064.80
6.02,217971638207.95,10032.81
4.26,200584929514.56,10032.62
5.09,206260570699.52,10015.53
4.97,210219492981.80,10088.84
5.33,208369372298.07,10027.13
4.89,204465312827.39,10024.64
5.66,218925737687.32,10010.99
4.64,212320513266.98,10061.23
5.27,206780901491.95,10076.86
4.97,218104290930.74,10079.08
5.03,219019536804.11,10007.84
5.21,217585991324.95,10064.97
5.02,218807457853.83,10051.60
5.41,210754043346.53,10018.10
5.47,212239831537.80,10063.22
5.19,215706275585.86,10036.85
4.20,208823931090.77,10064.24
5.51,202817304628.75,10092.93
4.17,216190030108.53,10034.95
4.14,200489469365.41,10084.32
4.60,209059049875.21,10084.80
6.07,205550990624.15,10072.66
5.13,201227730461.40,10092.04
5.39,213333472801.02,10036.23
5.15,214627051204.28,10057.89
5.25,211182821475.10,10001.03
4.97,209098302490.50,10053.27
5.15,200875932945.20,10000.49
3.88,206606341704.33,10099.06
4.21,205288591593.77,10092.45
5.30,210044889109.41,10021.79
4.77,204071115183.83,10035.33
5.40,205161707362.59,10065.33
4.28,205797029476.56,10024.55
4.88,219622402504.67,10064.78
3.98,213835741096.37,10072.55
5.61,205558717534.08,10009.72
4.97,210887263985.01,10009.57
5.30,207135930400.17,10021.50
5.28,214115856961.54,10053.65
4.99,202979367583.88,10029.37
4.51,204724986883.11,10061.12
6.00,213480384732.82,10082.24
5.28,203357098020.21,10046.78
3.69,204012141768.05,10047.28
5.80,216960115389.35,10047.44
4.01,210524902741.53,10027.73
5.31,216990133403.58,10015.38
5.46,204820578581.17,10015.64
4.93,211261073982.68,10070.98
5.27,217759513138.77,10046.59
3.75,215757620299.43,10055.38
4.94,219907749973.92,10009.04
5.30,218482854739.19,10005.97
4.37,206769319814.09,10001.25
6.56,217290242082.19,10001.22
5.59,204953805977.00,10015.39
5.33,212196005222.98,10030.11
4.38,210812724124.04,10029.92
4.18,208661359846.47,10073.84
4.87,210319478818.28,10016.67
5.81,217728122759.12,10017.68
5.38,208508811549.59,10053.49
4.86,210536088592.67,10029.99
4.17,213759121158.52,10038.19
5.07,204074681948.78,10048.16
4.60,202302499131.85,10007.68
4.16,200701432175.40,10099.38
6.23,202020752614.59,10085.47
4.89,218687338807.92,10067.25
5.81,219747738024.82,10029.17
4.52,217786835472.71,10086.31
4.89,214648189587.94,10008.58
5.51,203958658428.53,10037.47
5.23,206772231834.59,10021.85
5.00,200279818626.88,10043.95
5.25,217877651234.20,10086.83
4.26,213332116145.36,10051.95
3.57,204821527040.36,10054.68
4.55,219153956459.80,10004.10
5.68,203285016243.67,10037.62
4.79,217114698547.32,10000.34
5.65,206442032484.47,10081.17
5.79,208242278580.22,10005.24
4.65,207358030570.75,10070.05
5.64,214346563515.81,10068.60
5.98,204711468084.59,10060.56
5.02,213364164898.80,10017.81
4.62,205830295038.77,10037.25
4.36,212016630985.83,10066.52
6.03,213798523373.74,10063.53
3.84,203903281708.65,10041.30
4.68,212451658725.02,10000.50
5.29,214182848757.45,10094.25
5.45,218115528910.32,10085.77
5.01,219131583964.80,10027.18
5.30,214184630164.62,10010.77
5.26,211250426683.93,10015.28
5.29,217521616563.06,10085.59
4.40,215215484147.07,10006.81
5.08,205760713765.48,10046.63
5.04,214735529810.79,10087.84
4.90,213074108281.08,10051.96
4.50,205695314046.53,10029.82
4.10,203066661748.00,10033.94
4.63,213023273291.11,10088.51
5.96,203053069088.17,10078.57
4.31,211805715444.37,10060.17
5.40,208898023934.01,10061.11
4.49,200034596512.40,10095.72
4.84,209681973555.05,10009.30
5.10,205939506503.48,10081.10
5.40,206275224718.50,10077.18
4.47,209236604076.99,10077.23
4.54,202883212540.93,10026.72
4.90,215339166960.57,10075.62
4.55,217233205852.55,10053.34
5.23,219329259096.52,10057.60
5.48,217099808120.11,10024.07
5.33,203044828241.55,10012.47
5.27,203671717787.64,10072.84
4.58,217161421356.82,10068.87
6.48,205171591598.98,10048.09
5.15,208492599670.91,10010.39
4.93,212759412121.67,10061.28
5.03,202825573010.73,10064.22
5.20,203680210756.96,10050.91
4.53,209758754158.87,10007.07
4.34,213098224010.98,10029.04
5.40,214951100142.41,10098.20
4.86,205444021748.10,10002.67
5.29,204027818826.06,10054.88
5.12,213462925516.05,10039.83
4.73,203555301496.85,10001.16
5.37,200359660967.61,10075.78
5.09,204704759740.63,10046.48
5.12,201757697726.40,10073.04
5.89,206186188648.28,10082.32
5.17,215262927999.62,10070.24
5.60,219529419732.93,10011.89
5.51,207633878646.95,10085.14
4.88,218939696106.35,10098.53
4.56,205020107963.19,10013.96
4.22,212189923921.92,10015.47
5.76,216149315519.84,10032.49
4.83,217577569161.00,10031.11
5.66,211229758449.55,10042.21
5.21,217395568370.74,10013.13
5.37,203604719063.13,10006.08
6.18,207205243511.93,10033.63
4.21,200560590423.90,10079.42
4.14,219487170622.58,10050.74
4.76,203197690538.89,10044.05
4.99,201257896168.24,10099.45
5.24,210792501452.85,10030.35
4.68,211832792258.40,10061.97
4.93,216063183805.63,10078.08
4.92,208010197715.59,10048.89
4.99,205787612210.36,10077.69
5.87,206449590381.39,10072.36
5.33,205246658905.95,10001.78
5.63,200864824838.79,10066.48
5.35,203602704014.33,10050.30
5.52,215369053815.56,10072.11
5.03,202035887840.68,10041.07
4.85,211802574602.07,10095.90
4.75,208978116367.95,10029.65
4.07,209525532193.96,10089.40
4.33,201120459626.10,10074.22
4.97,209820106899.71,10087.45
5.08,213331159929.99,10008.37
4.49,213370076289.71,10057.81
5.00,215048586959.20,10039.19
4.46,214696030767.05,10039.79
5.30,218519643944.67,10068.18
5.04,205767413819.53,10009.50
5.06,216733562509.42,10087.05
4.66,201803606458.20,10069.72
5.42,201038584876.87,10092.95
4.81,209879844551.02,10006.91
5.17,216161745663.18,10024.92
4.58,207740412988.17,10091.21
4.74,218279696193.92,10009.45
4.65,211474170847.64,10050.43
5.90,205321060583.90,10099.87
5.04,204516676343.93,10062.52
5.69,218196374168.85,10074.86
5.25,218139447309.76,10085.97
5.58,213559048390.42,10006.21
4.77,213969417363.41,10047.12
4.56,215381806297.82,10047.78
4.87,214386848611.33,10097.70
5.31,201794832933.36,10072.42
4.89,214091656623.29,10077.07
4.88,218893856135.30,10043.42
5.44,200037355185.32,10048.55
5.10,218363770380.39,10082.21
4.34,209744568715.80,10000.13
5.21,208511459758.75,10033.30
4.73,212469614158.68,10095.94
4.74,212069152066.77,10058.53
4.74,218073302157.75,10028.61
4.20,209441884724.72,10031.08
4.79,200250942216.49,10063.79
4.93,203343239312.86,10031.89
5.81,206137152912.42,10087.50
5.65,200970040938.92,10019.44
4.75,213138815901.00,10048.43
5.50,201965236852.00,10050.13
4.17,209765682529.34,10098.72
5.45,208995705565.98,10088.03
5.10,209404909553.78,10062.09
5.05,211459664132.02,10095.92
4.73,202234439006.43,10057.61
5.19,210842235955.94,10012.42
5.06,210713753555.55,10025.92
5.18,216092634270.04,10024.14
5.39,203269296396.02,10030.67
5.84,216242039507.11,10077.63
4.27,204687238566.43,10048.20
5.24,209738223183.23,10008.51
5.48,218520713640.45,10079.36
4.51,205864771454.06,10079.62
4.62,204547902569.24,10084.69
5.34,216209953938.96,10063.46
4.99,215965338577.96,10032.00
4.75,219347209093.04,10001.00
5.07,208440987916.01,10093.48
5.32,215949767715.83,10042.50
5.41,217895086685.27,10076.95
4.01,214378182104.23,10023.53
4.68,204001701167.95,10062.26
6.03,207680824340.69,10079.68
5.19,204957583733.44,10030.94
5.29,200652129013.40,10020.07
4.76,213782241394.04,10094.41
4.49,208741662808.80,10012.22
5.81,213661751201.16,10050.59
5.58,200442536947.01,10045.74
4.50,213337498358.14,10087.47
5.82,202580314886.33,10011.85
5.08,219474914225.14,10065.57
5.50,209037977525.00,10037.20
4.89,209248308172.95,10026.39
5.35,207873259436.47,10051.29
4.37,208495154803.24,10069.56
5.17,205338904140.89,10070.61
5.70,208593270401.30,10084.57
5.64,215693836407.40,10086.00
5.04,201557988780.20,10083.68
5.09,200235867043.72,10059.98
5.24,214146228451.22,10045.28
4.68,206338767626.51,10049.62
4.31,210756786625.94,10059.30
5.31,217298987085.21,10053.22
5.71,202781426332.26,10020.87
4.70,201852765650.95,10037.75
5.49,206506473989.81,10016.80
4.24,215873425076.73,10054.72
4.73,212932223330.72,10068.12
5.32,217155537919.27,10084.92
4.59,213590983610.98,10025.03
4.64,209293728592.35,10025.11
4.79,210552409723.50,10039.20
5.08,216251673137.45,10060.93
4.88,206291062190.49,10016.05
4.98,209265961878.88,10070.56
5.50,212779618384.05,10051.56
5.16,211319005384.35,10088.18
4.75,214024276599.60,10070.19
5.06,200422666536.24,10076.92
4.62,213956218598.00,10033.57
4.75,201517800290.66,10016.31
5.16,208452257966.33,10019.85
5.05,213528333057.49,10015.25
5.34,208993902932.47,10068.71
5.41,217095531041.24,10099.62
5.00,210659634423.61,10074.32
4.96,208937261164.96,10071.04
4.94,215407175937.01,10079.98
3.86,201356896608.84,10000.42
4.33,207803933580.80,10017.62
6.02,206553850154.51,10019.65
4.50,207013342143.29,10085.71
5.24,204552834837.45,10044.95
5.01,208923236683.48,10073.59
4.79,205257312938.38,10026.23
3.85,216036995319.74,10075.15
4.94,202855458500.01,10080.24
5.28,201495548679.42,10051.87
5.22,211655115944.28,10065.43
5.44,219670384626.66,10089.62
4.76,203419257289.73,10009.37
5.11,201956689903.05,10051.70
4.71,212540122516.34,10089.46
5.00,200636732371.48,10090.12
5.00,215495556886.73,10007.36
5.88,210328416809.12,10032.37
4.19,200237374342.65,10021.14
5.05,203056768685.34,10036.04
5.82,200491986191.08,10003.03
5.03,210757744897.85,10035.93
5.31,216714575413.49,10058.72
4.83,202516496690.08,10089.97
4.99,210692005058.10,10089.36
5.91,217252239495.64,10045.51
5.14,216445965975.47,10036.84
4.72,205387960401.02,10085.96
4.89,208132970813.65,10085.76
4.96,217132881302.90,10095.02
5.37,214017642043.83,10066.52
5.16,202802965362.20,10011.08
5.37,216075364343.84,10056.27
4.93,203774763243.57,10070.04
5.20,208312825801.60,10091.40
6.22,208276896184.69,10051.51
5.57,206009349853.97,10009.03
5.50,205048941490.70,10013.65
5.11,219743090049.35,10083.20
5.83,202634304578.24,10050.68
5.24,218780773824.78,10052.04
5.86,203572958061.61,10014.47
5.16,214495741837.05,10047.82
4.76,214814996803.15,10091.98
5.17,211181568387.32,10010.09
5.57,213959926298.04,10083.30
4.85,202437951462.00,10043.83
5.07,216139423554.59,10082.99
3.22,202779298795.24,10095.35
4.69,216851422592.82,10053.25
5.46,209224418922.60,10050.60
5.82,211287001451.40,10078.04
4.94,210271716458.27,10054.78
4.97,216584700437.93,10040.78
4.99,210791689430.78,10098.28
5.76,213471576362.64,10059.71
5.97,200399652650.97,10010.97
4.50,201779814026.27,10040.35
4.47,216360304987.97,10027.71
5.61,207351915562.08,10072.19
3.90,204180614336.09,10081.05
5.19,212334288314.77,10028.24
5.33,218816414332.50,10052.29
4.25,205850990871.39,10020.88
4.77,210434174886.63,10023.47
4.82,209931096068.68,10089.42
4.58,215560086690.66,10089.80
5.45,209101091100.90,10090.07
4.77,203500854046.29,10026.54
5.11,208175725155.01,10057.19
4.77,202090268493.72,10005.35
4.15,212717453032.24,10013.37
4.99,219489175513.00,10084.29
5.68,209830579100.06,10013.92
4.96,204212862276.79,10035.84
5.33,206002703279.97,10023.27
4.66,214123812433.07,10005.35
4.31,207891339338.37,10033.78
4.92,219597446716.89,10036.28
5.06,205751735905.72,10020.30
4.23,217599873573.09,10086.06
4.77,214597707802.26,10010.92
4.18,212455250665.46,10028.69
4.86,210080369559.25,10087.14
4.13,202915484511.59,10050.33
6.07,210205356940.71,10044.50
4.27,214794843132.93,10064.17
4.83,219160527264.30,10070.28
5.56,215462228361.91,10030.29
4.70,214442749820.58,10097.63
5.04,211854121662.74,10054.97
4.49,214114500056.34,10007.12
4.93,204956502878.74,10036.57
4.73,219054754576.98,10066.67
5.44,204450803325.85,10001.67
4.63,213061530877.09,10001.25
5.39,213141405325.36,10041.16
4.68,210104617661.91,10002.29
4.12,218567074667.73,10081.32
4.72,200240720191.42,10045.19
5.22,201861300032.27,10019.20
4.66,213736743055.98,10012.50
4.35,216043305160.05,10012.70
4.66,209210317457.90,10073.94
4.23,211048473544.20,10061.66
5.88,201796306820.12,10009.03
5.37,202020607152.44,10050.37
4.96,217901441398.22,10067.49
4.02,217559475822.16,10013.47
5.49,212948326075.58,10018.49
5.03,201551003386.15,10066.87
5.06,218871899031.23,10063.65
4.34,202775044914.53,10071.50
5.14,203977338897.35,10042.71
3.87,202902658956.15,10006.00
5.40,219670308187.18,10017.72
4.96,219922902011.58,10054.32
4.82,219418053613.45,10061.84
4.93,202899041509.02,10092.81
4.92,203504328355.33,10036.49
4.62,219352954219.08,10043.52
4.44,206423294505.26,10009.66
4.49,208293755724.16,10048.22
4.56,206788943365.46,10081.92
4.76,209389410514.97,10084.34
4.88,209286204575.13,10001.09
5.14,219773400024.34,10025.90
4.78,212592849944.85,10097.68
4.74,213662959980.32,10011.30
4.94,217595342312.86,10001.62
4.41,210208432966.30,10035.84
5.44,200652490368.01,10075.02
5.12,207303112480.40,10083.11
4.84,212371083366.71,10052.93
5.07,201231856061.15,10078.59
4.94,215882231003.94,10062.60
4.50,202320211070.43,10024.30
4.84,218296195743.90,10037.53
4.90,213335097472.52,10063.47
4.85,205458659062.37,10061.28
4.51,215162802778.05,10034.99
5.70,212185971143.03,10084.10
4.92,206106818654.30,10079.39
4.22,210443186390.13,10099.93
5.99,218046231423.61,10048.75
5.01,205543220136.88,10047.78
5.05,209747557461.27,10021.75
4.35,211412431620.54,10075.50
5.10,204167879853.11,10057.61
